student_id,gender,race_ethnicity,parental_education,lunch,test_preparation,math_score,reading_score,writing_score,grade
1,female,group A,bachelor's degree,free/reduced,completed,51,65,54,D
2,male,group C,some college,standard,none,52,66,37,D
3,female,group B,master's degree,standard,completed,79,74,73,B
4,female,group B,associate's degree,free/reduced,none,48,50,58,D
5,male,group D,high school,standard,none,56,57,53,D
6,female,group C,bachelor's degree,free/reduced,none,67,75,63,C
7,female,group E,some college,standard,none,55,72,58,C
8,female,group C,high school,standard,none,63,67,61,C
9,male,group D,high school,standard,none,84,100,69,A
10,male,group C,associate's degree,free/reduced,none,54,65,55,D
11,male,group D,some high school,standard,none,78,74,84,B
12,female,group C,high school,free/reduced,none,63,72,52,C
13,female,group C,high school,free/reduced,completed,40,61,40,F
14,female,group E,some college,free/reduced,none,38,62,29,F
15,male,group C,some college,standard,none,47,62,59,D
16,male,group B,some college,free/reduced,none,42,46,45,F
17,female,group D,high school,free/reduced,none,54,54,47,D
18,male,group D,some high school,standard,none,69,74,68,B
19,female,group A,associate's degree,standard,none,81,96,65,A
20,female,group C,some college,standard,completed,72,76,59,C
21,female,group E,associate's degree,standard,none,55,61,41,D
22,male,group D,high school,free/reduced,none,24,31,21,F
23,female,group E,some high school,standard,none,61,59,74,C
24,female,group C,high school,standard,completed,67,65,58,C
25,female,group D,some college,standard,completed,70,71,73,B
26,male,group C,some college,standard,completed,99,100,83,A
27,male,group E,bachelor's degree,standard,completed,91,85,92,A
28,male,group C,some college,free/reduced,completed,74,73,61,C
29,male,group D,associate's degree,standard,none,48,42,51,F
30,female,group C,associate's degree,standard,completed,61,69,61,C
31,female,group C,some high school,free/reduced,none,54,70,78,C
32,female,group D,some college,standard,none,48,67,57,D
33,male,group C,some college,standard,completed,75,76,66,B
34,male,group E,some college,standard,none,65,71,71,C
35,male,group C,high school,free/reduced,none,39,42,65,F
36,male,group D,bachelor's degree,free/reduced,none,78,82,58,B
37,male,group C,master's degree,standard,none,70,73,60,C
38,male,group C,some high school,standard,completed,41,45,42,F
39,male,group C,associate's degree,standard,none,61,63,57,C
40,female,group B,bachelor's degree,standard,completed,76,79,69,B
41,male,group A,high school,standard,none,75,71,59,C
42,female,group D,bachelor's degree,free/reduced,completed,62,60,76,C
43,female,group D,associate's degree,free/reduced,none,69,86,53,C
44,male,group D,bachelor's degree,standard,completed,75,100,70,A
45,female,group A,master's degree,free/reduced,none,43,35,57,F
46,female,group C,some high school,free/reduced,none,34,26,39,F
47,male,group B,some college,standard,none,77,66,64,C
48,male,group D,associate's degree,standard,none,80,77,63,B
49,female,group D,high school,free/reduced,none,60,70,58,C
50,male,group B,some college,standard,completed,89,92,76,A
51,male,group D,master's degree,free/reduced,completed,86,85,83,A
52,male,group B,some high school,standard,completed,77,81,60,B
53,female,group B,some college,standard,none,46,42,57,F
54,female,group B,bachelor's degree,free/reduced,none,86,81,82,A
55,female,group B,some college,standard,completed,75,74,74,B
56,female,group D,some college,standard,completed,61,46,75,C
57,male,group E,master's degree,standard,none,58,48,54,D
58,female,group B,some college,standard,completed,71,59,62,C
59,male,group C,high school,standard,none,35,47,35,F
60,male,group D,some high school,standard,completed,77,78,72,B
61,female,group E,master's degree,standard,completed,61,68,60,C
62,male,group D,high school,standard,completed,73,54,62,C
63,female,group B,some college,standard,none,52,39,33,F
64,female,group D,some high school,free/reduced,none,51,60,47,D
65,female,group C,some college,standard,none,49,24,55,F
66,female,group E,master's degree,standard,completed,73,84,72,B
67,female,group C,some college,standard,none,88,67,94,A
68,male,group D,master's degree,standard,completed,96,100,100,A
69,male,group A,high school,free/reduced,completed,67,58,73,C
70,male,group C,some college,standard,none,60,71,74,C
71,male,group E,bachelor's degree,standard,none,78,100,82,A
72,male,group D,some college,free/reduced,completed,79,54,92,B
73,female,group C,high school,free/reduced,none,43,54,65,D
74,male,group E,bachelor's degree,free/reduced,none,59,42,69,D
75,male,group D,some college,free/reduced,none,28,38,41,F
76,male,group C,associate's degree,free/reduced,none,74,71,69,B
77,male,group C,master's degree,standard,completed,100,96,92,A
78,female,group C,high school,standard,none,61,53,57,D
79,female,group D,some college,standard,none,28,42,41,F
80,female,group C,some high school,standard,none,69,54,60,C
81,female,group B,some college,standard,none,46,62,47,D
82,male,group E,high school,standard,none,50,48,28,F
83,female,group E,associate's degree,free/reduced,completed,73,58,88,B
84,male,group D,high school,free/reduced,none,59,76,57,C
85,male,group E,associate's degree,free/reduced,none,50,52,57,D
86,male,group D,high school,standard,completed,57,78,72,C
87,female,group D,some college,standard,none,62,75,65,C
88,male,group D,some college,standard,none,54,48,70,D
89,male,group C,associate's degree,standard,none,45,47,36,F
90,female,group C,some college,free/reduced,none,50,54,76,D
91,male,group B,some college,free/reduced,none,60,76,71,C
92,female,group D,bachelor's degree,free/reduced,completed,64,69,65,C
93,male,group B,associate's degree,free/reduced,completed,43,48,61,D
94,male,group B,high school,free/reduced,none,70,68,56,C
95,male,group C,bachelor's degree,standard,none,24,30,28,F
96,female,group C,some college,standard,none,53,68,69,C
97,male,group B,some high school,standard,none,51,53,34,F
98,male,group D,some college,standard,none,62,59,67,C
99,male,group D,high school,standard,completed,75,68,77,B
100,female,group B,high school,standard,completed,84,76,99,A
101,female,group A,associate's degree,free/reduced,none,46,35,33,F
102,female,group C,high school,standard,completed,76,67,89,B
103,male,group D,bachelor's degree,free/reduced,none,63,79,57,C
104,female,group D,master's degree,free/reduced,none,37,39,37,F
105,female,group B,associate's degree,standard,completed,98,100,78,A
106,female,group D,associate's degree,free/reduced,none,35,15,29,F
107,male,group B,associate's degree,standard,completed,75,79,76,B
108,male,group C,master's degree,standard,completed,81,77,66,B
109,male,group E,some college,standard,completed,71,66,76,B
110,female,group B,high school,free/reduced,none,48,53,44,F
111,male,group B,some college,standard,none,72,66,57,C
112,male,group C,associate's degree,standard,completed,46,28,44,F
113,male,group D,high school,free/reduced,completed,61,71,64,C
114,female,group E,associate's degree,free/reduced,none,49,54,48,D
115,male,group E,some high school,standard,completed,57,55,58,D
116,female,group A,bachelor's degree,standard,none,71,61,76,C
117,female,group B,high school,standard,none,76,60,84,B
118,female,group D,some high school,free/reduced,completed,57,61,54,D
119,male,group B,high school,standard,none,72,87,59,B
120,female,group E,high school,standard,none,61,64,62,C
121,female,group D,high school,standard,completed,54,42,60,D
122,female,group B,some high school,standard,completed,63,66,48,D
123,male,group D,high school,standard,completed,63,63,53,D
124,male,group B,high school,standard,none,50,61,45,D
125,male,group C,some college,standard,completed,73,78,68,B
126,female,group C,some college,standard,none,64,35,56,D
127,male,group C,some college,standard,none,36,46,48,F
128,male,group D,some college,standard,none,35,30,24,F
129,male,group D,some high school,free/reduced,completed,68,54,51,D
130,female,group E,some high school,free/reduced,completed,50,51,49,F
131,male,group E,high school,standard,completed,72,75,68,B
132,female,group C,bachelor's degree,free/reduced,none,72,55,55,C
133,female,group A,master's degree,standard,none,49,59,45,D
134,male,group D,bachelor's degree,standard,none,44,55,43,F
135,female,group E,some college,free/reduced,none,80,78,72,B
136,male,group C,associate's degree,free/reduced,none,62,54,63,D
137,female,group C,some college,free/reduced,none,49,42,45,F
138,female,group C,bachelor's degree,standard,completed,58,70,73,C
139,female,group A,bachelor's degree,free/reduced,completed,59,45,64,D
140,male,group D,bachelor's degree,standard,completed,54,67,47,D
141,female,group C,bachelor's degree,standard,none,78,75,75,B
142,female,group D,some college,standard,none,48,50,52,F
143,female,group D,bachelor's degree,free/reduced,none,76,58,85,B
144,female,group D,bachelor's degree,standard,none,59,59,53,D
145,male,group C,some college,free/reduced,none,39,49,51,F
146,male,group C,bachelor's degree,standard,none,59,47,60,D
147,male,group D,some high school,free/reduced,none,16,29,40,F
148,female,group D,master's degree,free/reduced,completed,68,69,79,B
149,male,group C,bachelor's degree,free/reduced,none,57,52,60,D
150,male,group E,some high school,standard,none,72,80,67,B
151,female,group B,associate's degree,standard,none,34,17,44,F
152,female,group E,some high school,standard,none,77,79,72,B
153,male,group A,bachelor's degree,standard,none,77,92,90,A
154,female,group B,bachelor's degree,standard,none,84,96,80,A
155,male,group C,associate's degree,standard,none,61,66,57,C
156,female,group A,bachelor's degree,standard,none,80,75,71,B
157,male,group A,some high school,standard,completed,45,42,36,F
158,female,group A,high school,standard,none,71,67,74,B
159,female,group C,some college,free/reduced,none,43,52,38,F
160,female,group D,some high school,standard,none,35,32,51,F
161,male,group A,some college,free/reduced,none,38,50,29,F
162,female,group D,high school,free/reduced,none,55,78,57,C
163,male,group D,some college,standard,completed,55,56,68,D
164,male,group B,some college,free/reduced,none,61,48,39,F
165,female,group B,bachelor's degree,standard,none,38,29,63,F
166,male,group D,high school,free/reduced,none,23,37,26,F
167,female,group D,bachelor's degree,standard,none,86,83,82,A
168,female,group C,some college,standard,none,74,82,77,B
169,male,group D,some college,standard,none,44,42,54,F
170,female,group A,some college,standard,none,60,69,63,C
171,male,group C,some college,free/reduced,completed,77,74,84,B
172,female,group D,high school,free/reduced,completed,68,60,72,C
173,male,group B,some college,free/reduced,completed,64,60,81,C
174,female,group D,high school,free/reduced,none,71,58,74,C
175,male,group C,some college,free/reduced,completed,51,73,72,C
176,male,group D,associate's degree,standard,none,62,62,71,C
177,male,group C,some college,free/reduced,none,55,63,38,D
178,female,group C,bachelor's degree,standard,completed,68,62,93,B
179,female,group B,high school,standard,completed,61,51,55,D
180,female,group B,master's degree,standard,completed,76,72,88,B
181,female,group D,bachelor's degree,free/reduced,completed,68,79,67,B
182,female,group B,master's degree,standard,none,52,49,64,D
183,female,group A,bachelor's degree,standard,completed,84,73,72,B
184,male,group B,high school,standard,none,45,50,54,F
185,female,group B,some college,standard,completed,64,69,61,C
186,female,group D,high school,standard,completed,63,80,78,B
187,male,group C,bachelor's degree,free/reduced,none,65,69,68,C
188,male,group E,associate's degree,free/reduced,none,25,38,41,F
189,female,group B,high school,standard,none,73,79,49,C
190,male,group D,bachelor's degree,standard,none,55,45,55,D
191,female,group C,high school,standard,none,78,67,79,B
192,male,group C,associate's degree,standard,completed,62,52,64,D
193,male,group E,associate's degree,standard,none,61,49,70,D
194,female,group E,some high school,free/reduced,completed,91,95,81,A
195,male,group E,associate's degree,standard,none,58,62,59,D
196,male,group B,bachelor's degree,standard,none,84,82,91,A
197,female,group B,some high school,standard,none,61,36,38,F
198,female,group D,some college,standard,completed,73,93,76,A
199,male,group B,high school,standard,none,61,53,57,D
200,male,group D,associate's degree,free/reduced,none,70,90,59,B
201,female,group C,high school,free/reduced,none,45,34,51,F
202,female,group C,master's degree,free/reduced,completed,55,49,68,D
203,female,group D,bachelor's degree,free/reduced,none,50,30,62,F
204,male,group D,high school,standard,none,61,65,59,C
205,male,group A,some college,free/reduced,completed,59,49,68,D
206,male,group A,associate's degree,standard,completed,80,67,85,B
207,male,group C,associate's degree,standard,none,82,66,77,B
208,female,group C,some college,standard,none,45,56,41,F
209,male,group B,high school,standard,none,49,59,45,D
210,female,group C,high school,standard,none,38,60,51,F
211,female,group D,master's degree,standard,completed,100,88,92,A
212,female,group D,some college,free/reduced,none,60,63,50,D
213,male,group C,bachelor's degree,free/reduced,none,67,54,49,D
214,female,group C,some college,standard,none,40,41,52,F
215,female,group B,bachelor's degree,standard,none,65,60,59,C
216,female,group C,some high school,free/reduced,none,63,68,66,C
217,male,group C,high school,standard,completed,63,74,75,B
218,male,group C,bachelor's degree,standard,none,81,89,64,B
219,female,group D,master's degree,standard,completed,100,87,92,A
220,male,group A,some college,standard,completed,53,65,53,D
221,male,group A,some college,standard,none,45,48,52,F
222,female,group B,some college,free/reduced,none,42,42,58,F
223,female,group E,some college,free/reduced,none,79,70,62,B
224,female,group D,high school,free/reduced,none,71,65,74,C
225,male,group B,bachelor's degree,standard,none,63,81,73,B
226,female,group E,high school,free/reduced,completed,63,67,61,C
227,male,group C,associate's degree,free/reduced,none,45,50,47,F
228,female,group C,some high school,standard,none,73,69,75,B
229,female,group E,some high school,standard,none,54,80,59,C
230,male,group A,associate's degree,standard,none,58,72,64,C
231,male,group B,some college,standard,completed,76,67,78,B
232,male,group C,associate's degree,standard,none,59,57,49,D
233,female,group B,some high school,standard,completed,63,61,72,C
234,female,group D,master's degree,standard,completed,75,75,84,B
235,female,group B,associate's degree,standard,none,74,66,73,B
236,female,group A,bachelor's degree,standard,none,90,91,69,A
237,male,group B,high school,free/reduced,none,64,79,62,C
238,female,group C,some college,standard,completed,79,64,77,B
239,male,group B,some college,standard,none,57,47,46,F
240,male,group B,associate's degree,standard,completed,58,54,55,D
241,female,group D,high school,free/reduced,completed,72,67,56,C
242,female,group C,some high school,standard,completed,70,89,74,B
243,male,group C,some college,free/reduced,none,34,49,41,F
244,female,group A,high school,standard,none,55,66,40,D
245,female,group C,some college,standard,completed,66,63,68,C
246,female,group B,high school,standard,none,52,51,53,D
247,female,group D,high school,standard,completed,89,71,88,A
248,male,group B,associate's degree,free/reduced,none,64,72,59,C
249,male,group E,some college,free/reduced,none,76,80,65,B
250,male,group E,some college,standard,completed,71,83,61,B
251,female,group A,associate's degree,free/reduced,none,58,57,53,D
252,female,group B,bachelor's degree,standard,none,51,52,53,D
253,male,group B,some college,standard,none,60,63,61,C
254,male,group D,associate's degree,standard,none,62,72,60,C
255,male,group B,master's degree,standard,completed,54,41,51,F
256,female,group D,some college,free/reduced,none,47,57,46,F
257,female,group D,bachelor's degree,standard,none,60,61,85,C
258,male,group D,bachelor's degree,standard,none,71,60,61,C
259,male,group C,some high school,standard,completed,74,52,66,C
260,female,group E,some college,standard,none,51,52,86,C
261,male,group A,associate's degree,standard,completed,76,89,77,A
262,female,group C,master's degree,free/reduced,completed,67,84,52,C
263,male,group C,some college,standard,none,17,28,34,F
264,male,group E,some high school,standard,completed,60,81,51,C
265,female,group C,associate's degree,standard,completed,85,82,89,A
266,male,group D,high school,standard,none,35,49,38,F
267,male,group B,bachelor's degree,standard,none,67,62,61,C
268,male,group E,some college,free/reduced,completed,86,78,97,A
269,male,group C,associate's degree,free/reduced,completed,53,48,60,D
270,male,group C,bachelor's degree,standard,completed,72,51,79,C
271,male,group E,associate's degree,free/reduced,completed,44,60,52,D
272,male,group C,associate's degree,standard,none,86,77,76,B
273,male,group C,bachelor's degree,standard,completed,71,62,75,C
274,female,group C,bachelor's degree,free/reduced,completed,68,56,78,C
275,female,group B,bachelor's degree,free/reduced,none,80,76,77,B
276,male,group C,some high school,free/reduced,none,65,83,82,B
277,male,group B,associate's degree,standard,none,49,73,60,C
278,female,group B,high school,standard,completed,57,42,60,D
279,female,group D,bachelor's degree,standard,none,72,68,72,B
280,female,group C,associate's degree,standard,completed,60,51,61,D
281,male,group C,some college,free/reduced,none,23,39,18,F
282,male,group C,high school,standard,none,59,63,58,D
283,male,group C,some college,standard,none,38,36,45,F
284,male,group D,associate's degree,standard,none,86,84,77,A
285,female,group E,high school,standard,completed,70,65,71,C
286,male,group E,some high school,standard,none,46,65,49,D
287,male,group C,bachelor's degree,standard,completed,62,68,69,C
288,male,group C,bachelor's degree,standard,none,37,48,48,F
289,female,group C,high school,standard,completed,51,27,54,F
290,male,group C,high school,standard,none,75,73,58,C
291,female,group C,master's degree,standard,none,100,100,100,A
292,male,group D,associate's degree,free/reduced,none,68,81,65,B
293,female,group C,associate's degree,standard,none,61,43,60,D
294,male,group C,some college,standard,none,54,53,52,D
295,female,group C,high school,standard,completed,53,43,50,F
296,female,group C,some high school,free/reduced,none,86,100,96,A
297,female,group A,associate's degree,free/reduced,none,54,58,69,C
298,female,group B,some high school,standard,none,92,81,90,A
299,female,group D,some high school,standard,none,81,79,76,B
300,female,group C,associate's degree,standard,completed,43,20,53,F
301,female,group B,master's degree,free/reduced,none,53,44,55,D
302,male,group C,bachelor's degree,standard,completed,62,63,60,C
303,female,group D,some college,standard,completed,66,75,68,C
304,female,group B,some college,free/reduced,none,54,36,51,F
305,female,group D,some college,free/reduced,none,100,91,95,A
306,male,group E,some college,standard,none,44,57,49,F
307,male,group C,some college,standard,none,63,49,68,D
308,female,group D,some college,standard,none,69,71,61,C
309,male,group A,associate's degree,standard,completed,69,69,74,B
310,male,group E,bachelor's degree,standard,none,67,84,57,C
311,male,group C,master's degree,free/reduced,none,47,48,44,F
312,male,group E,some high school,free/reduced,completed,64,63,58,C
313,male,group C,some college,standard,none,68,76,56,C
314,male,group A,high school,standard,completed,72,58,80,C
315,male,group A,some college,standard,none,69,66,58,C
316,male,group D,high school,standard,none,81,74,70,B
317,male,group C,high school,free/reduced,completed,76,73,85,B
318,female,group A,bachelor's degree,standard,completed,73,81,65,B
319,male,group D,some college,standard,completed,49,57,49,D
320,female,group D,bachelor's degree,standard,none,56,50,47,D
321,female,group C,some high school,standard,completed,64,66,72,C
322,female,group C,some high school,standard,none,64,79,72,B
323,male,group A,some college,free/reduced,none,48,42,58,F
324,female,group D,some high school,free/reduced,none,41,46,50,F
325,female,group C,high school,standard,none,42,44,46,F
326,female,group E,master's degree,free/reduced,none,38,42,37,F
327,female,group C,high school,standard,none,56,41,49,F
328,female,group C,high school,free/reduced,completed,40,58,57,D
329,female,group B,associate's degree,standard,completed,54,48,63,D
330,male,group B,some college,standard,completed,61,72,54,C
331,female,group D,associate's degree,free/reduced,none,37,35,42,F
332,male,group C,some college,standard,completed,73,66,67,C
333,female,group C,bachelor's degree,standard,none,76,87,62,B
334,female,group E,high school,standard,none,52,64,55,D
335,male,group E,some college,standard,completed,60,63,56,D
336,female,group D,associate's degree,standard,none,70,77,58,C
337,male,group B,bachelor's degree,standard,none,54,53,40,F
338,female,group C,some college,free/reduced,none,43,46,31,F
339,male,group E,associate's degree,standard,none,80,71,72,B
340,female,group C,some high school,standard,completed,80,87,75,A
341,male,group B,high school,standard,none,69,62,58,C
342,female,group D,some high school,free/reduced,none,69,84,74,B
343,female,group C,associate's degree,standard,none,32,34,37,F
344,female,group C,high school,standard,none,80,78,82,B
345,female,group E,associate's degree,standard,completed,75,81,70,B
346,female,group C,some high school,free/reduced,completed,77,76,66,B
347,female,group C,bachelor's degree,free/reduced,completed,73,69,72,B
348,male,group C,bachelor's degree,standard,completed,73,72,58,C
349,female,group C,some high school,free/reduced,none,51,62,58,D
350,male,group B,some high school,standard,completed,73,65,61,C
351,female,group D,some high school,standard,none,55,55,65,D
352,male,group D,bachelor's degree,standard,none,78,76,71,B
353,female,group B,high school,standard,completed,43,55,57,D
354,female,group C,associate's degree,standard,none,54,55,44,D
355,male,group E,some college,standard,completed,98,100,84,A
356,female,group A,bachelor's degree,standard,completed,63,62,66,C
357,female,group C,some college,standard,completed,63,61,74,C
358,female,group C,some college,standard,none,47,48,66,D
359,female,group D,master's degree,free/reduced,none,68,55,67,C
360,female,group B,high school,free/reduced,completed,51,43,71,D
361,female,group D,bachelor's degree,standard,none,62,57,59,D
362,male,group C,some high school,standard,none,73,83,81,B
