fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,wine_type
9.84,0.31,0.331,6.9,0.1105,28.2,97.5,0.993332,3.36,0.609,12.31,6,red
7.25,0.296,0.342,15.95,0.0777,28.8,93.7,0.991323,3.092,0.526,9.45,5,white
6.76,0.252,0.221,2.83,0.0296,47.5,155.7,0.995507,3.464,0.577,10.71,6,white
10.08,0.251,0.439,7.31,0.083,11.0,60.4,0.997461,3.236,0.504,11.01,5,red
7.5,0.209,0.282,0.9,0.0792,6.4,24.8,0.996858,3.081,0.883,10.93,5,red
6.58,0.503,0.468,4.99,0.0574,41.4,118.4,0.994107,3.09,0.471,10.04,5,white
7.22,0.229,0.456,9.84,0.0317,10.3,56.0,0.993747,3.233,0.569,12.04,6,white
10.77,0.162,0.0,0.9,0.1222,1.0,6.0,0.997083,3.331,0.69,8.0,5,red
6.31,0.263,0.279,3.98,0.0753,24.5,66.6,0.99,3.07,0.33,9.09,5,white
7.14,0.365,0.197,2.63,0.01,20.9,53.9,0.996994,3.085,0.707,11.2,6,red
6.4,0.199,0.31,6.35,0.0485,46.4,180.4,0.996944,3.119,0.518,9.34,6,white
4.52,0.835,0.303,2.41,0.1061,6.6,34.9,0.997883,3.372,0.403,9.27,5,red
6.37,0.312,0.451,1.82,0.1071,36.2,92.4,0.994095,2.991,0.435,9.84,6,white
7.7,0.326,0.347,8.7,0.0232,39.9,186.6,0.992328,3.16,0.493,9.46,5,white
7.64,0.622,0.281,0.9,0.1409,13.2,43.4,0.998049,3.489,1.128,11.16,5,red
7.9,0.222,0.359,7.78,0.0523,34.5,108.9,0.994184,3.145,0.387,11.49,6,white
6.89,0.602,0.524,1.38,0.0506,17.7,81.6,0.997912,3.374,0.711,10.51,5,red
7.72,0.581,0.309,1.56,0.1149,4.4,20.9,0.996286,3.084,0.715,11.67,5,red
7.76,0.552,0.39,3.38,0.095,17.4,72.6,0.992821,3.334,0.771,8.74,6,red
7.48,1.028,0.539,2.68,0.0599,12.5,38.7,0.999663,3.361,0.496,10.49,5,red
6.53,0.415,0.224,8.69,0.052,64.1,161.5,0.992399,3.36,0.738,12.02,6,white
8.09,0.335,0.38,2.07,0.0907,1.0,6.0,0.997872,3.512,0.801,11.57,6,red
6.33,0.322,0.435,3.54,0.0686,25.7,110.3,0.993548,3.23,0.555,12.12,7,white
11.31,0.387,0.0,6.14,0.0786,19.5,73.3,0.996999,3.626,0.794,9.69,5,red
7.84,0.41,0.439,0.9,0.0577,7.8,24.4,0.996547,3.053,0.466,11.5,6,white
6.93,0.122,0.377,20.45,0.0855,9.1,43.5,0.992248,3.294,0.498,9.89,5,white
7.83,0.354,0.403,1.76,0.0237,45.6,123.6,0.993848,3.285,0.42,11.11,6,white
7.62,0.592,0.0,4.95,0.0897,1.2,6.0,1.001401,3.54,0.621,11.97,6,red
5.94,0.71,0.435,2.57,0.0196,5.1,23.4,0.995014,3.445,0.413,9.45,6,red
6.49,0.198,0.341,3.59,0.0573,33.3,105.5,0.991432,3.086,0.538,8.17,5,white
7.25,0.282,0.44,5.25,0.0637,28.0,110.6,0.995195,3.095,0.343,12.62,6,white
7.46,0.27,0.324,7.08,0.0231,50.1,203.3,0.998783,3.306,0.521,10.99,6,white
10.11,0.561,0.389,0.92,0.01,4.4,18.9,0.995546,2.944,0.642,10.27,5,red
5.82,0.439,0.14,2.38,0.0889,11.3,59.0,0.997561,3.336,0.694,10.21,4,red
6.94,0.222,0.354,0.9,0.0375,51.5,213.2,0.991737,3.138,0.414,8.0,4,white
7.27,0.293,0.264,4.93,0.0476,47.4,128.0,0.99,3.216,0.539,10.65,6,white
6.49,0.204,0.321,2.91,0.0801,11.0,38.9,0.996231,2.915,0.33,9.76,6,white
10.11,0.509,0.24,1.59,0.0761,17.5,76.5,0.999536,3.293,0.852,10.46,5,red
7.83,0.816,0.113,0.9,0.1161,12.5,43.8,0.997316,3.594,0.562,10.44,4,red
6.61,0.243,0.365,1.5,0.062,22.4,107.6,0.996091,3.192,0.33,8.0,6,white
7.33,0.382,0.397,1.35,0.0575,66.8,205.0,0.994575,3.353,0.581,10.99,5,white
9.19,0.617,0.507,7.33,0.0961,8.4,24.7,0.996022,3.121,0.343,10.63,5,red
5.72,0.271,0.421,0.9,0.0618,31.3,99.9,0.993338,3.113,0.332,10.79,6,white
6.32,0.304,0.521,8.67,0.0328,36.4,186.9,0.992619,3.084,0.547,10.18,6,white
7.26,0.598,0.016,0.9,0.1375,23.4,106.4,0.997666,3.221,0.6,10.46,6,red
9.13,0.523,0.302,3.75,0.09,26.0,105.6,0.993698,3.15,0.896,10.61,5,red
6.38,0.487,0.328,9.69,0.0396,26.0,88.3,0.990357,3.2,0.412,10.73,5,white
6.45,0.672,0.175,4.18,0.01,5.5,29.0,0.996126,3.092,0.961,10.97,6,red
5.67,0.539,0.414,9.87,0.0311,9.2,47.6,0.99,2.873,0.598,10.74,6,white
7.19,0.212,0.475,4.74,0.052,51.8,191.7,0.99,3.013,0.43,12.62,6,white
9.32,0.585,0.373,0.92,0.1085,11.9,56.5,0.999534,3.37,0.711,9.53,5,red
6.28,0.209,0.48,10.62,0.1004,30.8,161.5,0.993615,3.115,0.417,9.95,6,white
9.22,0.436,0.28,1.73,0.0852,18.8,64.6,0.996567,3.381,0.553,12.43,7,red
8.05,0.564,0.762,1.7,0.0772,18.6,64.7,0.994811,3.266,0.833,10.21,5,red
6.0,0.252,0.417,1.0,0.0564,57.1,236.1,0.998657,3.28,0.502,11.52,6,white
6.13,0.194,0.35,26.18,0.0451,52.8,196.5,0.99,2.91,0.451,10.56,6,white
6.52,0.371,0.091,0.92,0.1131,1.0,6.0,0.997016,3.862,0.967,10.13,6,red
6.86,0.394,0.45,1.04,0.0476,10.4,42.6,0.990215,3.175,0.402,11.58,6,white
7.34,0.38,0.382,5.5,0.0441,17.1,53.7,0.997897,3.093,0.381,11.02,6,white
7.12,0.231,0.153,0.9,0.0115,40.8,145.5,0.995264,3.143,0.622,8.56,5,white
6.77,0.092,0.313,4.32,0.0508,47.2,212.9,0.99258,3.206,0.67,10.61,6,white
5.54,0.456,0.533,0.9,0.1643,19.2,51.0,0.995519,3.429,0.641,9.21,6,red
7.53,0.672,0.339,0.9,0.0296,22.7,80.0,0.994546,3.145,1.065,11.93,5,red
7.73,0.349,0.498,21.82,0.0433,15.8,40.2,0.99026,3.272,0.584,12.5,6,white
6.96,0.725,0.259,1.67,0.0998,5.8,28.8,0.999193,3.379,0.766,12.65,7,red
5.85,0.467,0.249,11.83,0.0642,26.9,76.8,0.992354,3.298,0.438,10.83,6,white
7.66,0.756,0.327,2.07,0.0191,11.8,32.3,0.996903,3.345,0.501,9.85,5,red
8.45,0.598,0.151,0.9,0.0519,23.2,112.8,0.998028,3.106,0.42,10.79,5,red
9.39,0.442,0.243,6.01,0.0174,1.0,6.0,0.996029,3.369,0.82,9.27,5,red
9.93,0.55,0.045,0.9,0.1162,16.3,74.1,0.997465,3.527,0.512,13.21,6,red
8.64,0.598,0.364,2.65,0.1426,24.3,88.5,0.997202,3.124,0.875,11.83,6,red
7.23,0.131,0.458,5.91,0.01,13.3,65.8,0.99,3.171,0.575,10.77,6,white
6.6,0.131,0.462,7.95,0.0913,54.8,167.1,0.994236,3.187,0.55,11.6,6,white
9.46,0.634,0.397,2.65,0.1307,25.6,70.6,0.997409,3.113,0.73,9.81,5,red
6.97,0.369,0.246,0.9,0.056,1.0,6.0,0.999264,3.436,0.385,9.07,5,red
6.34,0.124,0.506,8.12,0.0259,62.6,290.0,0.990113,3.233,0.57,8.0,5,white
7.92,0.548,0.44,0.9,0.0367,18.3,91.3,1.000891,3.247,0.719,10.5,6,red
7.13,0.207,0.311,3.64,0.053,42.2,141.6,0.992639,2.974,0.559,10.15,5,white
6.73,0.454,0.24,4.14,0.053,17.2,53.6,1.00106,3.251,0.486,11.02,6,white
5.7,0.243,0.212,11.59,0.0524,22.5,66.9,0.994105,3.051,0.699,10.42,6,white
7.48,0.123,0.198,0.9,0.0491,57.9,183.0,0.995055,3.513,0.539,10.97,6,white
6.42,0.408,0.331,2.54,0.0312,43.0,134.0,0.994118,3.254,0.455,11.37,6,white
8.07,0.42,0.432,6.41,0.0123,50.1,258.9,0.995025,3.274,0.505,8.65,5,white
5.68,0.189,0.487,6.18,0.0512,36.3,92.8,0.997278,3.227,0.479,11.44,6,white
10.12,0.63,0.023,8.93,0.041,22.7,116.8,0.994352,3.311,0.606,9.91,5,red
9.39,0.589,0.249,1.6,0.0479,25.8,67.7,0.998876,3.595,0.488,11.02,6,red
7.87,0.627,0.207,0.9,0.1046,17.2,85.8,0.993026,3.272,0.728,11.63,6,red
7.08,0.662,0.0,1.29,0.1693,4.5,16.8,0.996255,3.097,0.476,11.63,6,red
8.22,0.245,0.418,13.57,0.0887,11.0,29.9,0.994108,3.415,0.567,10.55,6,white
8.87,0.662,0.252,4.15,0.0381,22.2,108.8,0.997915,3.419,0.696,10.61,5,red
8.64,0.793,0.495,3.02,0.059,1.0,6.0,0.995986,3.424,0.831,11.47,6,red
8.23,0.493,0.652,1.08,0.1112,29.2,149.8,1.000638,3.533,0.33,8.6,5,red
5.42,0.259,0.404,3.27,0.0531,55.0,261.8,0.992369,3.263,0.48,9.26,5,white
6.37,0.247,0.403,31.87,0.1001,39.1,213.2,0.990423,3.212,0.33,10.06,6,white
6.29,0.187,0.229,9.59,0.0159,39.5,197.2,0.996263,3.181,0.575,8.8,5,white
8.8,0.293,0.272,4.26,0.0641,22.1,71.1,0.993143,3.436,0.411,10.07,6,red
