step,tool_name,status,runtime_seconds,started_at_utc,error_message
1,dataset_overview,success,0.035,2026-05-01T13:51:49.781861+00:00,
2,missing_value_analysis,success,0.0082,2026-05-01T13:51:49.816875+00:00,
3,duplicate_analysis,success,0.0255,2026-05-01T13:51:49.825035+00:00,
4,numeric_summary,success,0.0222,2026-05-01T13:51:49.850548+00:00,
5,categorical_summary,success,0.024,2026-05-01T13:51:49.872590+00:00,
6,correlation_analysis,success,0.0043,2026-05-01T13:51:49.897156+00:00,
7,outlier_detection,success,0.0092,2026-05-01T13:51:49.901341+00:00,
8,target_aware_analysis,success,0.046,2026-05-01T13:51:49.910358+00:00,
9,visualization_recommendation,success,0.0007,2026-05-01T13:51:49.956540+00:00,
10,chart_generation,success,1.8893,2026-05-01T13:51:49.956540+00:00,
11,insight_generation,success,0.0071,2026-05-01T13:51:51.846066+00:00,
