step,tool_name,status,runtime_seconds,started_at_utc,error_message
1,dataset_overview,success,0.0634,2026-05-01T13:53:42.388802+00:00,
2,missing_value_analysis,success,0.0115,2026-05-01T13:53:42.452031+00:00,
3,duplicate_analysis,success,0.0385,2026-05-01T13:53:42.464065+00:00,
4,numeric_summary,success,0.0337,2026-05-01T13:53:42.501982+00:00,
5,categorical_summary,success,0.0271,2026-05-01T13:53:42.535735+00:00,
6,correlation_analysis,success,0.004,2026-05-01T13:53:42.562608+00:00,
7,outlier_detection,success,0.0095,2026-05-01T13:53:42.566623+00:00,
8,target_aware_analysis,success,0.0502,2026-05-01T13:53:42.576246+00:00,
9,visualization_recommendation,success,0.0011,2026-05-01T13:53:42.626423+00:00,
10,chart_generation,success,2.1433,2026-05-01T13:53:42.627423+00:00,
11,insight_generation,success,0.0087,2026-05-01T13:53:44.770512+00:00,
