metric,strategy_mode,sample_size,mean,std,bootstrap_ci_95_low,bootstrap_ci_95_high
runtime_seconds,fixed,3,2.1643,0.8528,1.3813,3.0729
runtime_seconds,llm,30,7.2966,7.6163,4.9289,10.4415
runtime_seconds,rule,3,1.9937,0.5292,1.4065,2.4336
number_of_tools_called,fixed,3,10.0,0.0,10.0,10.0
number_of_tools_called,llm,30,10.4333,0.8584,10.1333,10.7
number_of_tools_called,rule,3,11.0,0.0,11.0,11.0
number_of_insights_generated,fixed,3,7.6667,0.5774,7.0,8.0
number_of_insights_generated,llm,30,9.5,1.6764,8.8667,10.0333
number_of_insights_generated,rule,3,10.3333,0.5774,10.0,11.0
number_of_charts_generated,fixed,3,13.6667,1.5275,12.0,15.0
number_of_charts_generated,llm,30,12.3667,2.4138,11.4667,13.2
number_of_charts_generated,rule,3,13.6667,1.5275,12.0,15.0
completeness_score,fixed,3,10.0,0.0,10.0,10.0
completeness_score,llm,30,9.4761,1.0264,9.0951,9.8095
completeness_score,rule,3,10.0,0.0,10.0,10.0
insight_quality_score,fixed,3,9.4763,0.041,9.429,9.5
insight_quality_score,llm,30,9.601,0.1564,9.5439,9.656
insight_quality_score,rule,3,9.6667,0.1443,9.5,9.75
insight_relevance_score,fixed,3,9.1667,1.4434,7.5,10.0
insight_relevance_score,llm,30,9.45,0.9317,9.1167,9.7333
insight_relevance_score,rule,3,9.3333,1.1547,8.0,10.0
redundancy_score,fixed,3,10.0,0.0,10.0,10.0
redundancy_score,llm,30,10.0,0.0,10.0,10.0
redundancy_score,rule,3,10.0,0.0,10.0,10.0
clarity_score,fixed,3,9.4763,0.041,9.429,9.5
clarity_score,llm,30,9.3217,0.1702,9.2699,9.3847
clarity_score,rule,3,9.291,0.1012,9.2,9.4
flesch_reading_ease,fixed,3,38.4073,3.3415,34.609,40.894
flesch_reading_ease,llm,30,38.6831,3.8388,37.26,39.922
flesch_reading_ease,rule,3,40.4313,2.7415,37.373,42.668
readability_score,fixed,3,3.8407,0.334,3.461,4.089
readability_score,llm,30,3.8684,0.3839,3.726,3.9923
readability_score,rule,3,4.043,0.2744,3.737,4.267
visualization_suitability_score,fixed,3,10.0,0.0,10.0,10.0
visualization_suitability_score,llm,30,10.0,0.0,10.0,10.0
visualization_suitability_score,rule,3,10.0,0.0,10.0,10.0
efficiency_score,fixed,3,9.4217,1.0017,8.265,10.0
efficiency_score,llm,30,6.2696,1.8462,5.5628,6.8633
efficiency_score,rule,3,9.951,0.0849,9.853,10.0
overall_quality_score,fixed,3,9.1033,0.1892,8.933,9.307
overall_quality_score,llm,30,8.6498,0.3167,8.5265,8.7542
overall_quality_score,rule,3,9.243,0.2027,9.009,9.365
error_count,fixed,3,0.0,0.0,0.0,0.0
error_count,llm,30,0.0,0.0,0.0,0.0
error_count,rule,3,0.0,0.0,0.0,0.0
