step,tool_name,status,runtime_seconds,started_at_utc,error_message
1,dataset_overview,success,0.0196,2026-05-01T13:51:58.474070+00:00,
2,missing_value_analysis,success,0.005,2026-05-01T13:51:58.493110+00:00,
3,duplicate_analysis,success,0.0254,2026-05-01T13:51:58.498216+00:00,
4,numeric_summary,success,0.0314,2026-05-01T13:51:58.524240+00:00,
5,categorical_summary,success,0.0115,2026-05-01T13:51:58.554906+00:00,
6,correlation_analysis,success,0.008,2026-05-01T13:51:58.566909+00:00,
7,outlier_detection,success,0.0138,2026-05-01T13:51:58.574459+00:00,
8,target_aware_analysis,success,0.0109,2026-05-01T13:51:58.589040+00:00,
9,visualization_recommendation,success,0.0014,2026-05-01T13:51:58.599123+00:00,
10,chart_generation,success,1.8134,2026-05-01T13:51:58.601129+00:00,
11,insight_generation,success,0.0067,2026-05-01T13:52:00.413770+00:00,
