step,tool_name,status,runtime_seconds,started_at_utc,error_message
1,dataset_overview,success,0.0204,2026-05-01T13:56:55.955224+00:00,
2,missing_value_analysis,success,0.0051,2026-05-01T13:56:55.974822+00:00,
3,duplicate_analysis,success,0.0254,2026-05-01T13:56:55.980429+00:00,
4,numeric_summary,success,0.0312,2026-05-01T13:56:56.006073+00:00,
5,categorical_summary,success,0.0115,2026-05-01T13:56:56.037152+00:00,
6,correlation_analysis,success,0.0078,2026-05-01T13:56:56.048578+00:00,
7,outlier_detection,success,0.0141,2026-05-01T13:56:56.056442+00:00,
8,target_aware_analysis,success,0.012,2026-05-01T13:56:56.070453+00:00,
9,visualization_recommendation,success,0.0013,2026-05-01T13:56:56.082504+00:00,
10,chart_generation,success,1.8418,2026-05-01T13:56:56.083504+00:00,
11,insight_generation,success,0.0069,2026-05-01T13:56:57.925240+00:00,
