step,tool_name,status,runtime_seconds,started_at_utc,error_message
1,dataset_overview,success,0.0591,2026-05-01T13:49:16.252819+00:00,
2,missing_value_analysis,success,0.0121,2026-05-01T13:49:16.310715+00:00,
3,numeric_summary,success,0.0604,2026-05-01T13:49:16.323952+00:00,
4,categorical_summary,success,0.0207,2026-05-01T13:49:16.384614+00:00,
5,correlation_analysis,success,0.028,2026-05-01T13:49:16.405229+00:00,
6,outlier_detection,success,0.0473,2026-05-01T13:49:16.432804+00:00,
7,target_aware_analysis,success,0.0319,2026-05-01T13:49:16.480033+00:00,
8,visualization_recommendation,success,0.0023,2026-05-01T13:49:16.512425+00:00,
9,chart_generation,success,4.6274,2026-05-01T13:49:16.514424+00:00,
10,insight_generation,success,0.0092,2026-05-01T13:49:21.142252+00:00,
