step,tool_name,status,runtime_seconds,started_at_utc,error_message
1,dataset_overview,success,0.0244,2026-05-01T13:54:16.563079+00:00,
2,missing_value_analysis,success,0.0105,2026-05-01T13:54:16.587915+00:00,
3,duplicate_analysis,success,0.0388,2026-05-01T13:54:16.598007+00:00,
4,numeric_summary,success,0.0396,2026-05-01T13:54:16.637563+00:00,
5,categorical_summary,success,0.0112,2026-05-01T13:54:16.677002+00:00,
6,correlation_analysis,success,0.0076,2026-05-01T13:54:16.688306+00:00,
7,outlier_detection,success,0.0132,2026-05-01T13:54:16.695306+00:00,
8,target_aware_analysis,success,0.0107,2026-05-01T13:54:16.708344+00:00,
9,visualization_recommendation,success,0.0013,2026-05-01T13:54:16.719425+00:00,
10,chart_generation,success,1.9911,2026-05-01T13:54:16.720423+00:00,
11,insight_generation,success,0.0068,2026-05-01T13:54:18.711619+00:00,
