step,tool_name,status,runtime_seconds,started_at_utc,error_message
1,dataset_overview,success,0.0198,2026-05-01T13:50:55.349513+00:00,
2,missing_value_analysis,success,0.0049,2026-05-01T13:50:55.369568+00:00,
3,duplicate_analysis,success,0.0255,2026-05-01T13:50:55.374217+00:00,
4,numeric_summary,success,0.0295,2026-05-01T13:50:55.399650+00:00,
5,categorical_summary,success,0.0112,2026-05-01T13:50:55.429730+00:00,
6,correlation_analysis,success,0.0082,2026-05-01T13:50:55.440824+00:00,
7,outlier_detection,success,0.0135,2026-05-01T13:50:55.448831+00:00,
8,target_aware_analysis,success,0.011,2026-05-01T13:50:55.462709+00:00,
9,visualization_recommendation,success,0.0013,2026-05-01T13:50:55.473029+00:00,
10,chart_generation,success,1.3461,2026-05-01T13:50:55.475037+00:00,
11,insight_generation,success,0.0062,2026-05-01T13:50:56.820990+00:00,
