step,tool_name,status,runtime_seconds,started_at_utc,error_message
1,dataset_overview,success,0.0192,2026-05-01T13:50:06.466846+00:00,
2,missing_value_analysis,success,0.0049,2026-05-01T13:50:06.485290+00:00,
3,duplicate_analysis,success,0.0256,2026-05-01T13:50:06.490347+00:00,
4,numeric_summary,success,0.0301,2026-05-01T13:50:06.515770+00:00,
5,correlation_analysis,success,0.0127,2026-05-01T13:50:06.546392+00:00,
6,outlier_detection,success,0.0138,2026-05-01T13:50:06.559512+00:00,
7,categorical_summary,success,0.0115,2026-05-01T13:50:06.572600+00:00,
8,target_aware_analysis,success,0.0109,2026-05-01T13:50:06.584608+00:00,
9,visualization_recommendation,success,0.0014,2026-05-01T13:50:06.594976+00:00,
10,chart_generation,success,1.7855,2026-05-01T13:50:06.596970+00:00,
11,insight_generation,success,0.0064,2026-05-01T13:50:08.382265+00:00,
