step,tool_name,status,runtime_seconds,started_at_utc,error_message
1,dataset_overview,success,0.0021,2026-05-01T13:56:57.992585+00:00,
2,missing_value_analysis,success,0.0007,2026-05-01T13:56:57.994585+00:00,
3,duplicate_analysis,success,0.0012,2026-05-01T13:56:57.995586+00:00,
4,numeric_summary,success,0.0136,2026-05-01T13:56:57.996586+00:00,
5,categorical_summary,success,0.0018,2026-05-01T13:56:58.010725+00:00,
6,correlation_analysis,success,0.0012,2026-05-01T13:56:58.012724+00:00,
7,outlier_detection,success,0.0062,2026-05-01T13:56:58.013722+00:00,
8,visualization_recommendation,success,0.0002,2026-05-01T13:56:58.019842+00:00,
9,chart_generation,success,1.3516,2026-05-01T13:56:58.019842+00:00,
10,insight_generation,success,0.0026,2026-05-01T13:56:59.371902+00:00,
