step,tool_name,status,runtime_seconds,started_at_utc,error_message
1,dataset_overview,success,0.0022,2026-05-01T13:57:05.855429+00:00,
2,missing_value_analysis,success,0.0006,2026-05-01T13:57:05.857148+00:00,
3,duplicate_analysis,success,0.0014,2026-05-01T13:57:05.858145+00:00,
4,numeric_summary,success,0.0119,2026-05-01T13:57:05.859152+00:00,
5,categorical_summary,success,0.0017,2026-05-01T13:57:05.871154+00:00,
6,correlation_analysis,success,0.0013,2026-05-01T13:57:05.873154+00:00,
7,outlier_detection,success,0.0055,2026-05-01T13:57:05.874706+00:00,
8,target_aware_analysis,success,0.0086,2026-05-01T13:57:05.879673+00:00,
9,visualization_recommendation,success,0.0002,2026-05-01T13:57:05.888771+00:00,
10,chart_generation,success,1.4041,2026-05-01T13:57:05.888771+00:00,
11,insight_generation,success,0.0054,2026-05-01T13:57:07.292297+00:00,
