step,tool_name,status,runtime_seconds,started_at_utc,error_message
1,dataset_overview,success,0.002,2026-05-01T13:48:33.686429+00:00,
2,missing_value_analysis,success,0.0006,2026-05-01T13:48:33.687974+00:00,
3,duplicate_analysis,success,0.0012,2026-05-01T13:48:33.688969+00:00,
4,numeric_summary,success,0.0111,2026-05-01T13:48:33.689953+00:00,
5,correlation_analysis,success,0.001,2026-05-01T13:48:33.700971+00:00,
6,outlier_detection,success,0.005,2026-05-01T13:48:33.701961+00:00,
7,categorical_summary,success,0.0015,2026-05-01T13:48:33.706972+00:00,
8,target_aware_analysis,success,0.0081,2026-05-01T13:48:33.707972+00:00,
9,visualization_recommendation,success,0.0002,2026-05-01T13:48:33.716015+00:00,
10,chart_generation,success,1.3157,2026-05-01T13:48:33.717068+00:00,
11,insight_generation,success,0.0053,2026-05-01T13:48:35.032146+00:00,
