step,tool_name,status,runtime_seconds,started_at_utc,error_message
1,dataset_overview,success,0.0021,2026-05-01T13:50:12.211970+00:00,
2,missing_value_analysis,success,0.0006,2026-05-01T13:50:12.214134+00:00,
3,duplicate_analysis,success,0.0012,2026-05-01T13:50:12.214134+00:00,
4,numeric_summary,success,0.0119,2026-05-01T13:50:12.216115+00:00,
5,correlation_analysis,success,0.0011,2026-05-01T13:50:12.227874+00:00,
6,outlier_detection,success,0.0051,2026-05-01T13:50:12.228874+00:00,
7,categorical_summary,success,0.0015,2026-05-01T13:50:12.233866+00:00,
8,target_aware_analysis,success,0.0081,2026-05-01T13:50:12.234867+00:00,
9,visualization_recommendation,success,0.0002,2026-05-01T13:50:12.243542+00:00,
10,chart_generation,success,1.3269,2026-05-01T13:50:12.243542+00:00,
11,insight_generation,success,0.0055,2026-05-01T13:50:13.570930+00:00,
