step,tool_name,status,runtime_seconds,started_at_utc,error_message
1,dataset_overview,success,0.0023,2026-05-01T13:56:59.393036+00:00,
2,missing_value_analysis,success,0.0007,2026-05-01T13:56:59.395037+00:00,
3,duplicate_analysis,success,0.0013,2026-05-01T13:56:59.396038+00:00,
4,numeric_summary,success,0.0125,2026-05-01T13:56:59.397035+00:00,
5,correlation_analysis,success,0.0013,2026-05-01T13:56:59.409048+00:00,
6,outlier_detection,success,0.0055,2026-05-01T13:56:59.411045+00:00,
7,categorical_summary,success,0.0016,2026-05-01T13:56:59.416047+00:00,
8,target_aware_analysis,success,0.0085,2026-05-01T13:56:59.418047+00:00,
9,visualization_recommendation,success,0.0002,2026-05-01T13:56:59.426717+00:00,
10,chart_generation,success,1.367,2026-05-01T13:56:59.426717+00:00,
11,insight_generation,success,0.0054,2026-05-01T13:57:00.794096+00:00,
